index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.125,392,0.1677,349375
2,0.630,-85,-0.0365,348898
3,1.130,-414,-0.1774,348569
4,1.629,-477,-0.2043,348506
5,2.130,168,0.0718,349151
6,2.634,-1213,-0.5194,347770
7,3.135,-1746,-0.7476,347237
8,3.635,1192,0.5101,350175
9,4.135,909,0.3890,349892
10,4.640,744,0.3184,349727
11,5.140,742,0.3175,349725
12,5.640,691,0.2957,349674
13,6.140,710,0.3038,349693
14,6.645,589,0.2520,349572
15,7.145,829,0.3547,349812
16,7.645,809,0.3462,349792
17,8.145,802,0.3432,349785
18,8.649,804,0.3440,349787
