index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.125,-791,-0.3385,348192
2,0.630,-597,-0.2556,348386
3,1.130,-465,-0.1991,348518
4,1.629,-553,-0.2368,348430
5,2.130,-233,-0.1000,348750
6,2.634,-359,-0.1538,348624
7,3.135,301,0.1288,349284
8,3.635,748,0.3202,349731
9,4.135,645,0.2763,349628
10,4.640,645,0.2762,349628
11,5.140,645,0.2762,349628
12,5.640,645,0.2762,349628
13,6.140,645,0.2762,349628
14,6.645,645,0.2762,349628
15,7.145,645,0.2762,349628
16,7.645,645,0.2762,349628
17,8.145,645,0.2762,349628
18,8.649,645,0.2762,349628
