index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.198,-378.0,-0.1619,348605.0
2,0.698,-546.0,-0.2339,348437.0
3,1.198,-987.0,-0.4226,347996.0
4,1.698,-8.0,-0.0036,348975.0
5,2.203,-264.0,-0.1131,348719.0
6,2.703,-445.0,-0.1906,348538.0
7,3.202,386.0,0.1651,349369.0
8,3.702,305.0,0.1304,349288.0
9,4.208,237.0,0.1013,349220.0
10,4.708,290.0,0.1240,349273.0
11,5.208,613.0,0.2623,349596.0
12,5.708,304.0,0.1300,349287.0
13,6.212,11.0,0.0046,348994.0
14,6.712,-371.0,-0.1590,348612.0
15,7.212,-316.0,-0.1354,348667.0
16,7.712,381.0,0.1630,349364.0
17,8.217,988.0,0.4228,349971.0
18,8.717,1170.0,0.5007,350153.0
19,9.217,-833.0,-0.3567,348150.0
20,9.717,140.0,0.0598,349123.0
21,10.222,195.0,0.0833,349178.0
22,10.722,184.0,0.0786,349167.0
23,11.222,198.0,0.0846,349181.0
