index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.413,-291.0,-0.1247,348692.0
2,0.912,-644.0,-0.2758,348339.0
3,1.417,-900.0,-0.3854,348083.0
4,1.918,228.0,0.0975,349211.0
5,2.417,-1157.0,-0.4954,347826.0
6,2.918,515.0,0.2203,349498.0
7,3.423,762.0,0.3261,349745.0
8,3.923,645.0,0.2760,349628.0
9,4.423,643.0,0.2751,349626.0
10,4.923,562.0,0.2405,349545.0
11,5.428,-44.0,-0.0190,348939.0
12,5.928,-157.0,-0.0673,348826.0
13,6.428,-228.0,-0.0977,348755.0
14,6.927,-196.0,-0.0840,348787.0
15,7.433,93.0,0.0397,349076.0
