index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.336,1327.0,0.5679,350310.0
2,0.836,152.0,0.0649,349135.0
3,1.335,607.0,0.2597,349590.0
4,1.835,558.0,0.2387,349541.0
5,2.340,353.0,0.1510,349336.0
6,2.840,504.0,0.2156,349487.0
7,3.340,102.0,0.0435,349085.0
8,3.840,340.0,0.1454,349323.0
9,4.345,999.0,0.4275,349982.0
10,4.845,838.0,0.3586,349821.0
11,5.345,803.0,0.3436,349786.0
12,5.845,805.0,0.3445,349788.0
13,6.350,819.0,0.3505,349802.0
14,6.850,865.0,0.3702,349848.0
15,7.350,889.0,0.3804,349872.0
16,7.850,912.0,0.3903,349895.0
17,8.355,545.0,0.2332,349528.0
18,8.855,419.0,0.1792,349402.0
