index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.462,1995,0.8539,350978
2,0.962,-202,-0.0866,348781
3,1.462,-199,-0.0853,348784
4,1.966,-623,-0.2668,348360
5,2.466,-711,-0.3045,348272
6,2.966,721,0.3085,349704
7,3.466,-1471,-0.6298,347512
8,3.972,974,0.4168,349957
9,4.472,1008,0.4314,349991
10,4.971,975,0.4172,349958
11,5.471,976,0.4177,349959
12,5.976,450,0.1925,349433
13,6.476,500,0.2139,349483
14,6.976,505,0.2160,349488
15,7.476,466,0.1994,349449
16,7.981,461,0.1972,349444
17,8.481,524,0.2242,349507
18,8.981,539,0.2306,349522
