index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.462,1995.0,0.8539,350978.0
2,0.962,-202.0,-0.0866,348781.0
3,1.462,-199.0,-0.0853,348784.0
4,1.966,-623.0,-0.2668,348360.0
5,2.466,-711.0,-0.3045,348272.0
6,2.966,721.0,0.3085,349704.0
7,3.466,-1471.0,-0.6298,347512.0
8,3.972,974.0,0.4168,349957.0
9,4.472,1008.0,0.4314,349991.0
10,4.971,975.0,0.4172,349958.0
11,5.471,976.0,0.4177,349959.0
12,5.976,450.0,0.1925,349433.0
13,6.476,500.0,0.2139,349483.0
14,6.976,505.0,0.2160,349488.0
15,7.476,466.0,0.1994,349449.0
16,7.981,461.0,0.1972,349444.0
17,8.481,524.0,0.2242,349507.0
18,8.981,539.0,0.2306,349522.0
