index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.346,1012,0.4331,349995
2,0.846,839,0.3590,349822
3,1.351,482,0.2062,349465
4,1.851,502,0.2148,349485
5,2.351,364,0.1557,349347
6,2.851,103,0.0440,349086
7,3.356,-746,-0.3195,348237
8,3.856,1159,0.4960,350142
9,4.356,-1051,-0.4500,347932
10,4.856,506,0.2165,349489
11,5.361,854,0.3655,349837
12,5.861,878,0.3757,349861
13,6.361,889,0.3804,349872
14,6.861,827,0.3539,349810
15,7.366,904,0.3869,349887
16,7.866,871,0.3727,349854
