index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.346,-147,-0.0629,348836
2,0.846,-31,-0.0131,348952
3,1.351,214,0.0915,349197
4,1.851,446,0.1910,349429
5,2.351,334,0.1430,349317
6,2.851,687,0.2940,349670
7,3.356,356,0.1522,349339
8,3.856,-386,-0.1653,348597
9,4.356,819,0.3506,349802
10,4.856,983,0.4208,349966
11,5.361,1046,0.4476,350029
12,5.861,870,0.3725,349853
13,6.361,870,0.3725,349853
14,6.861,870,0.3725,349853
15,7.366,870,0.3725,349853
16,7.866,870,0.3725,349853
